NO_OF_FRAMES	20413
NO_OF_CAMERAS	9
NO_OF_MARKERS	6
FREQUENCY	200
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2012-05-15, 12:22:08	13083.47976359
DATA_INCLUDED	3D
MARKER_NAMES	box1	box2	box3	box4	clap1	clap2
786.872	-112.869	544.594	967.592	-46.420	544.057	901.988	132.925	546.673	721.532	70.085	546.888	0.000	0.000	0.000	0.000	0.000	0.000
786.911	-112.858	544.557	967.620	-46.361	544.098	902.044	132.939	546.651	721.478	70.097	546.950	0.000	0.000	0.000	0.000	0.000	0.000
786.951	-112.829	544.594	967.612	-46.429	544.024	902.041	132.869	546.635	721.563	70.074	546.939	0.000	0.000	0.000	0.000	0.000	0.000
786.855	-112.804	544.666	967.582	-46.386	544.126	902.081	132.950	546.691	721.480	70.044	546.960	0.000	0.000	0.000	0.000	0.000	0.000
786.930	-112.906	544.557	967.568	-46.426	544.064	901.984	132.951	546.652	721.498	70.023	546.868	0.000	0.000	0.000	0.000	0.000	0.000
786.845	-112.786	544.566	967.602	-46.361	544.093	901.981	132.876	546.661	721.488	70.072	546.971	0.000	0.000	0.000	0.000	0.000	0.000
786.914	-112.827	544.595	967.570	-46.369	544.052	901.925	132.914	546.675	721.429	70.029	546.914	0.000	0.000	0.000	0.000	0.000	0.000
786.889	-112.878	544.585	967.665	-46.404	544.039	901.984	132.929	546.624	721.516	70.045	546.926	0.000	0.000	0.000	0.000	0.000	0.000
786.890	-112.804	544.568	967.612	-46.364	544.101	902.002	133.019	546.683	721.482	70.120	546.920	0.000	0.000	0.000	0.000	0.000	0.000
786.916	-112.841	544.575	967.594	-46.365	544.061	902.021	132.981	546.615	721.449	70.144	546.973	0.000	0.000	0.000	0.000	0.000	0.000
786.841	-112.787	544.607	967.580	-46.382	544.103	902.010	132.997	546.725	721.513	70.170	546.871	0.000	0.000	0.000	0.000	0.000	0.000
786.906	-112.762	544.621	967.532	-46.420	544.091	902.032	132.940	546.627	721.432	70.106	546.940	0.000	0.000	0.000	0.000	0.000	0.000
786.920	-112.845	544.590	967.588	-46.368	544.130	902.011	132.928	546.636	721.472	70.086	546.890	0.000	0.000	0.000	0.000	0.000	0.000
786.902	-112.802	544.601	967.561	-46.403	544.121	902.004	132.960	546.686	721.500	70.169	546.934	0.000	0.000	0.000	0.000	0.000	0.000
786.792	-112.723	544.509	967.563	-46.463	544.021	902.049	132.981	546.641	721.436	70.171	546.915	0.000	0.000	0.000	0.000	0.000	0.000
786.829	-112.816	544.608	967.578	-46.451	544.055	901.977	132.931	546.585	721.456	70.110	546.907	0.000	0.000	0.000	0.000	0.000	0.000
786.811	-112.778	544.484	967.530	-46.404	544.113	901.980	132.976	546.658	721.431	70.113	546.953	0.000	0.000	0.000	0.000	0.000	0.000
786.855	-112.880	544.610	967.591	-46.337	544.100	901.993	132.903	546.661	721.455	70.126	546.968	0.000	0.000	0.000	0.000	0.000	0.000
786.817	-112.895	544.504	967.586	-46.427	544.057	901.988	132.951	546.615	721.456	70.158	546.898	0.000	0.000	0.000	0.000	0.000	0.000
786.884	-112.778	544.631	967.523	-46.454	544.014	901.988	132.964	546.628	721.478	70.111	546.929	0.000	0.000	0.000	0.000	0.000	0.000
786.840	-112.839	544.597	967.564	-46.376	544.145	901.988	132.943	546.597	721.434	70.132	546.880	0.000	0.000	0.000	0.000	0.000	0.000
786.812	-112.804	544.549	967.569	-46.371	544.101	901.935	132.960	546.646	721.396	70.057	546.954	0.000	0.000	0.000	0.000	0.000	0.000
786.835	-112.825	544.557	967.556	-46.458	544.010	901.993	132.897	546.657	721.408	70.121	546.909	0.000	0.000	0.000	0.000	0.000	0.000
786.833	-112.892	544.589	967.578	-46.409	544.122	901.994	132.942	546.667	721.439	70.086	546.914	0.000	0.000	0.000	0.000	0.000	0.000
786.841	-112.794	544.576	967.571	-46.388	544.017	901.975	132.916	546.608	721.421	70.127	546.901	0.000	0.000	0.000	0.000	0.000	0.000
786.824	-112.832	544.592	967.533	-46.428	544.083	901.969	132.880	546.697	721.404	70.079	546.959	0.000	0.000	0.000	0.000	0.000	0.000
